,country,date,vaccine,total_vaccinations
20299,Ukraine,2021-08-15,Sinovac,2108792
20300,Ukraine,2021-08-16,Johnson&Johnson,13997
20301,Ukraine,2021-08-16,Moderna,1066876
20302,Ukraine,2021-08-16,Oxford/AstraZeneca,1676934
20303,Ukraine,2021-08-16,Pfizer/BioNTech,2676931
20304,Ukraine,2021-08-16,Sinovac,2149665
20305,Ukraine,2021-08-17,Johnson&Johnson,13997
20306,Ukraine,2021-08-17,Moderna,1067220
20307,Ukraine,2021-08-17,Oxford/AstraZeneca,1685060
20308,Ukraine,2021-08-17,Pfizer/BioNTech,2735923
20309,Ukraine,2021-08-17,Sinovac,2200797
20310,Ukraine,2021-08-18,Johnson&Johnson,16297
20311,Ukraine,2021-08-18,Moderna,1069856
20312,Ukraine,2021-08-18,Oxford/AstraZeneca,1694282
20313,Ukraine,2021-08-18,Pfizer/BioNTech,2791843
20314,Ukraine,2021-08-18,Sinovac,2250723
20315,Ukraine,2021-08-19,Johnson&Johnson,16297
20316,Ukraine,2021-08-19,Moderna,1094262
20317,Ukraine,2021-08-19,Oxford/AstraZeneca,1703799
20318,Ukraine,2021-08-19,Pfizer/BioNTech,2842571
20319,Ukraine,2021-08-19,Sinovac,2295099
20320,Ukraine,2021-08-20,Johnson&Johnson,16297
20321,Ukraine,2021-08-20,Moderna,1132477
20322,Ukraine,2021-08-20,Oxford/AstraZeneca,1715615
20323,Ukraine,2021-08-20,Pfizer/BioNTech,2893746
20324,Ukraine,2021-08-20,Sinovac,2341011
20325,Ukraine,2021-08-21,Johnson&Johnson,16297
20326,Ukraine,2021-08-21,Moderna,1152511
20327,Ukraine,2021-08-21,Oxford/AstraZeneca,1719249
20328,Ukraine,2021-08-21,Pfizer/BioNTech,2918803
20329,Ukraine,2021-08-21,Sinovac,2358459
20330,Ukraine,2021-08-22,Johnson&Johnson,16297
20331,Ukraine,2021-08-22,Moderna,1166838
20332,Ukraine,2021-08-22,Oxford/AstraZeneca,1721628
20333,Ukraine,2021-08-22,Pfizer/BioNTech,2936854
20334,Ukraine,2021-08-22,Sinovac,2366417
20335,Ukraine,2021-08-23,Johnson&Johnson,16297
20336,Ukraine,2021-08-23,Moderna,1187626
20337,Ukraine,2021-08-23,Oxford/AstraZeneca,1727893
20338,Ukraine,2021-08-23,Pfizer/BioNTech,2960984
20339,Ukraine,2021-08-23,Sinovac,2386661
20340,Ukraine,2021-08-24,Johnson&Johnson,16961
20341,Ukraine,2021-08-24,Moderna,1194377
20342,Ukraine,2021-08-24,Oxford/AstraZeneca,1729161
20343,Ukraine,2021-08-24,Pfizer/BioNTech,2968744
20344,Ukraine,2021-08-24,Sinovac,2390957
20345,Ukraine,2021-08-25,Johnson&Johnson,16961
20346,Ukraine,2021-08-25,Moderna,1260097
20347,Ukraine,2021-08-25,Oxford/AstraZeneca,1739344
20348,Ukraine,2021-08-25,Pfizer/BioNTech,3015518
20349,Ukraine,2021-08-25,Sinovac,2430690
20350,Ukraine,2021-08-26,Johnson&Johnson,18252
20351,Ukraine,2021-08-26,Moderna,1323980
20352,Ukraine,2021-08-26,Oxford/AstraZeneca,1752037
20353,Ukraine,2021-08-26,Pfizer/BioNTech,3068887
20354,Ukraine,2021-08-26,Sinovac,2472889
20355,Ukraine,2021-08-27,Johnson&Johnson,18252
20356,Ukraine,2021-08-27,Moderna,1380767
20357,Ukraine,2021-08-27,Oxford/AstraZeneca,1766557
20358,Ukraine,2021-08-27,Pfizer/BioNTech,3122175
20359,Ukraine,2021-08-27,Sinovac,2514845
20360,Ukraine,2021-08-28,Johnson&Johnson,18252
20361,Ukraine,2021-08-28,Moderna,1412802
20362,Ukraine,2021-08-28,Oxford/AstraZeneca,1774056
20363,Ukraine,2021-08-28,Pfizer/BioNTech,3150101
20364,Ukraine,2021-08-28,Sinovac,2534952
20365,Ukraine,2021-08-29,Johnson&Johnson,18252
20366,Ukraine,2021-08-29,Moderna,1428491
20367,Ukraine,2021-08-29,Oxford/AstraZeneca,1777291
20368,Ukraine,2021-08-29,Pfizer/BioNTech,3164602
20369,Ukraine,2021-08-29,Sinovac,2543004
20370,Ukraine,2021-08-30,Johnson&Johnson,18252
20371,Ukraine,2021-08-30,Moderna,1480775
20372,Ukraine,2021-08-30,Oxford/AstraZeneca,1791327
20373,Ukraine,2021-08-30,Pfizer/BioNTech,3211322
20374,Ukraine,2021-08-30,Sinovac,2580446
20375,Ukraine,2021-08-31,Johnson&Johnson,18252
20376,Ukraine,2021-08-31,Moderna,1533693
20377,Ukraine,2021-08-31,Oxford/AstraZeneca,1804114
20378,Ukraine,2021-08-31,Pfizer/BioNTech,3261101
20379,Ukraine,2021-08-31,Sinovac,2622011
20380,Ukraine,2021-09-01,Johnson&Johnson,18252
20381,Ukraine,2021-09-01,Moderna,1576727
20382,Ukraine,2021-09-01,Oxford/AstraZeneca,1808614
20383,Ukraine,2021-09-01,Pfizer/BioNTech,3301023
20384,Ukraine,2021-09-01,Sinovac,2653577
20385,Ukraine,2021-09-02,Johnson&Johnson,18252
20386,Ukraine,2021-09-02,Moderna,1633642
20387,Ukraine,2021-09-02,Oxford/AstraZeneca,1814767
20388,Ukraine,2021-09-02,Pfizer/BioNTech,3354853
20389,Ukraine,2021-09-02,Sinovac,2689451
20390,Ukraine,2021-09-03,Johnson&Johnson,18252
20391,Ukraine,2021-09-03,Moderna,1697081
20392,Ukraine,2021-09-03,Oxford/AstraZeneca,1821678
20393,Ukraine,2021-09-03,Pfizer/BioNTech,3412919
20394,Ukraine,2021-09-03,Sinovac,2728524
20395,Ukraine,2021-09-04,Johnson&Johnson,18252
20396,Ukraine,2021-09-04,Moderna,1723846
20397,Ukraine,2021-09-04,Oxford/AstraZeneca,1824694
20398,Ukraine,2021-09-04,Pfizer/BioNTech,3437622
20399,Ukraine,2021-09-04,Sinovac,2743300
20400,Ukraine,2021-09-05,Johnson&Johnson,19252
20401,Ukraine,2021-09-05,Moderna,1740754
20402,Ukraine,2021-09-05,Oxford/AstraZeneca,1826201
20403,Ukraine,2021-09-05,Pfizer/BioNTech,3451907
20404,Ukraine,2021-09-05,Sinovac,2751387
20405,Ukraine,2021-09-06,Johnson&Johnson,19252
20406,Ukraine,2021-09-06,Moderna,1793578
20407,Ukraine,2021-09-06,Oxford/AstraZeneca,1832006
20408,Ukraine,2021-09-06,Pfizer/BioNTech,3496081
20409,Ukraine,2021-09-06,Sinovac,2782506
20410,Ukraine,2021-09-07,Johnson&Johnson,19252
20411,Ukraine,2021-09-07,Moderna,1848353
20412,Ukraine,2021-09-07,Oxford/AstraZeneca,1840055
20413,Ukraine,2021-09-07,Pfizer/BioNTech,3550093
20414,Ukraine,2021-09-07,Sinovac,2815288
20415,Ukraine,2021-09-08,Johnson&Johnson,19252
20416,Ukraine,2021-09-08,Moderna,1902028
20417,Ukraine,2021-09-08,Oxford/AstraZeneca,1850422
20418,Ukraine,2021-09-08,Pfizer/BioNTech,3610042
20419,Ukraine,2021-09-08,Sinovac,2852466
20420,Ukraine,2021-09-09,Johnson&Johnson,19252
20421,Ukraine,2021-09-09,Moderna,1955333
20422,Ukraine,2021-09-09,Oxford/AstraZeneca,1864044
20423,Ukraine,2021-09-09,Pfizer/BioNTech,3674563
20424,Ukraine,2021-09-09,Sinovac,2894633
20425,Ukraine,2021-09-10,Johnson&Johnson,19252
20426,Ukraine,2021-09-10,Moderna,2011351
20427,Ukraine,2021-09-10,Oxford/AstraZeneca,1880650
20428,Ukraine,2021-09-10,Pfizer/BioNTech,3743248
20429,Ukraine,2021-09-10,Sinovac,2936851
20430,Ukraine,2021-09-11,Johnson&Johnson,19252
20431,Ukraine,2021-09-11,Moderna,2034510
20432,Ukraine,2021-09-11,Oxford/AstraZeneca,1886133
20433,Ukraine,2021-09-11,Pfizer/BioNTech,3773133
20434,Ukraine,2021-09-11,Sinovac,2952768
20435,Ukraine,2021-09-12,Johnson&Johnson,20052
20436,Ukraine,2021-09-12,Moderna,2049898
20437,Ukraine,2021-09-12,Oxford/AstraZeneca,1889112
20438,Ukraine,2021-09-12,Pfizer/BioNTech,3791301
20439,Ukraine,2021-09-12,Sinovac,2960581
20440,Ukraine,2021-09-13,Johnson&Johnson,20052
20441,Ukraine,2021-09-13,Moderna,2091726
20442,Ukraine,2021-09-13,Oxford/AstraZeneca,1904030
20443,Ukraine,2021-09-13,Pfizer/BioNTech,3838853
20444,Ukraine,2021-09-13,Sinovac,2991506
20445,Ukraine,2021-09-14,Johnson&Johnson,20052
20446,Ukraine,2021-09-14,Moderna,2130300
20447,Ukraine,2021-09-14,Oxford/AstraZeneca,1921335
20448,Ukraine,2021-09-14,Pfizer/BioNTech,3889652
20449,Ukraine,2021-09-14,Sinovac,3026624
20450,Ukraine,2021-09-15,Johnson&Johnson,20052
20451,Ukraine,2021-09-15,Moderna,2133812
20452,Ukraine,2021-09-15,Oxford/AstraZeneca,1939987
20453,Ukraine,2021-09-15,Pfizer/BioNTech,3949595
20454,Ukraine,2021-09-15,Sinovac,3063303
20455,Ukraine,2021-09-16,Johnson&Johnson,20052
20456,Ukraine,2021-09-16,Moderna,2133932
20457,Ukraine,2021-09-16,Oxford/AstraZeneca,1961254
20458,Ukraine,2021-09-16,Pfizer/BioNTech,4014106
20459,Ukraine,2021-09-16,Sinovac,3100311
20460,Ukraine,2021-09-17,Johnson&Johnson,20052
20461,Ukraine,2021-09-17,Moderna,2133932
20462,Ukraine,2021-09-17,Oxford/AstraZeneca,1985011
20463,Ukraine,2021-09-17,Pfizer/BioNTech,4084547
20464,Ukraine,2021-09-17,Sinovac,3138672
20465,Ukraine,2021-09-18,Johnson&Johnson,20052
20466,Ukraine,2021-09-18,Moderna,2133932
20467,Ukraine,2021-09-18,Oxford/AstraZeneca,1993321
20468,Ukraine,2021-09-18,Pfizer/BioNTech,4119721
20469,Ukraine,2021-09-18,Sinovac,3153793
20470,Ukraine,2021-09-19,Johnson&Johnson,20680
20471,Ukraine,2021-09-19,Moderna,2133932
20472,Ukraine,2021-09-19,Oxford/AstraZeneca,1997827
20473,Ukraine,2021-09-19,Pfizer/BioNTech,4142386
20474,Ukraine,2021-09-19,Sinovac,3162023
20475,Ukraine,2021-09-20,Johnson&Johnson,20680
20476,Ukraine,2021-09-20,Moderna,2133932
20477,Ukraine,2021-09-20,Oxford/AstraZeneca,2018715
20478,Ukraine,2021-09-20,Pfizer/BioNTech,4199140
20479,Ukraine,2021-09-20,Sinovac,3193117
20480,Ukraine,2021-09-21,Johnson&Johnson,20680
20481,Ukraine,2021-09-21,Moderna,2133932
20482,Ukraine,2021-09-21,Oxford/AstraZeneca,2039053
20483,Ukraine,2021-09-21,Pfizer/BioNTech,4262497
20484,Ukraine,2021-09-21,Sinovac,3225427
20485,Ukraine,2021-09-22,Johnson&Johnson,20680
20486,Ukraine,2021-09-22,Moderna,2133932
20487,Ukraine,2021-09-22,Oxford/AstraZeneca,2063094
20488,Ukraine,2021-09-22,Pfizer/BioNTech,4337607
20489,Ukraine,2021-09-22,Sinovac,3271044
20490,Ukraine,2021-09-23,Johnson&Johnson,20680
20491,Ukraine,2021-09-23,Moderna,2133932
20492,Ukraine,2021-09-23,Oxford/AstraZeneca,2090547
